group	median_AFR	median_AMR	median_EAS	median_EUR	median_SAS	chisq_superpop	p_superpop	fdr_superpop	HR_nonEUR	HR_p_nonEUR	HR_fdr_nonEUR
Atypical Teratoid Rhabdoid Tumor	0.8 (1.4)	1.4 (1.8)	3.1 (--)	0.8 (1.7)	-- (--)	5.5	0.14	0.48	0.58	0.18	0.76
CRANIO, ADAM	2.4 (3.4)	1.9 (1.7)	2.4 (--)	2.2 (2.1)	2.5 (1.6)	2.6	0.62	0.85	0.86	0.71	0.81
Craniopharyngioma	1.6 (3.2)	1.4 (1.7)	2.4 (--)	2.7 (2.2)	2.5 (1.6)	2.6	0.62	0.85	0.86	0.71	0.81
DMG, H3 K28	0.6 (0.3)	0.6 (0.6)	0.7 (0.8)	0.7 (0.4)	0.7 (0.2)	0.8	0.94	0.96	0.87	0.58	0.77
EPN, PF A	1.9 (0.8)	2.8 (--)	2 (0.3)	1.9 (2.2)	1 (--)	2.2	0.7	0.88	1.72	0.29	0.77
EPN, ST ZFTA	1 (2.2)	0.7 (0.4)	1 (7.8)	3.5 (3.5)	-- (--)	2.6	0.45	0.81	2.27	0.19	0.76
Ependymoma	2.3 (2.3)	1.2 (1.7)	1.4 (5.1)	2.5 (2.7)	1 (--)	3.6	0.47	0.81	1.52	0.24	0.77
GNG/GNT, Other alteration	3.1 (3.4)	2.8 (1.7)	-- (--)	2.8 (3)	2.4 (1.8)	5.3	0.15	0.48	0.89	0.85	0.85
Germ cell tumor	0.3 (0.3)	0.8 (0.5)	0.4 (1.1)	2.1 (1.9)	-- (--)	12.4	0.01	0.16	12.13	0.01	0.24
HGG, H3 WT	0.8 (1.3)	0.5 (2)	1.3 (2.5)	0.9 (3.7)	1.8 (1.5)	2.5	0.64	0.85	1.29	0.47	0.77
LGG, BRAF V600E	1.7 (1.8)	1.6 (1.1)	5 (5.9)	1.9 (2.4)	1.6 (--)	3.8	0.44	0.81	1.49	0.52	0.77
LGG, BRAF fusion	2 (2.1)	2.1 (1.8)	3.3 (1.8)	3 (2.4)	2.4 (1)	0.6	0.96	0.96	1.17	0.61	0.77
LGG, Other alteration	1.3 (1.5)	3.4 (4.5)	1.2 (--)	2.6 (3)	-- (--)	3	0.39	0.81	0.91	0.82	0.85
Low-grade glioma	2.1 (2)	2.1 (2.6)	1.6 (2.6)	2.8 (2.5)	2.2 (3.4)	1.5	0.83	0.96	1.07	0.74	0.81
MB, Group3	4.8 (--)	3.4 (2.2)	1.1 (1.4)	1.1 (1.5)	-- (--)	7.5	0.06	0.34	0.45	0.19	0.76
MB, Group4	3.7 (2.8)	3.1 (1.6)	4 (1.6)	3.9 (2.6)	4.7 (5)	0.9	0.93	0.96	1.3	0.58	0.77
MB, SHH	6.9 (5.3)	1 (1.3)	3.1 (1.5)	2.9 (2.2)	-- (--)	7	0.07	0.34	1.87	0.36	0.77
Medulloblastoma	4.4 (3.4)	2.3 (1.9)	3.3 (2.5)	2.9 (2.7)	8.2 (4.3)	1.4	0.84	0.96	0.8	0.45	0.77
Meningioma	3.9 (2.1)	3.4 (1.7)	1.4 (3.2)	1.5 (4.6)	4.7 (0.8)	4.3	0.37	0.81	0.36	0.13	0.76
Mesenchymal tumor	0.4 (0.1)	1.5 (4.7)	3.4 (5)	3 (2.3)	2.3 (1.8)	5.5	0.24	0.64	3.53	0.1	0.76
Mixed neuronal-glial tumor	3.1 (2.5)	1.9 (2.3)	2.7 (3.4)	2.7 (2.7)	2 (1.6)	6.7	0.16	0.48	0.78	0.59	0.77
Neurofibroma plexiform	9.8 (3.7)	1.4 (3.7)	-- (--)	3.3 (2.9)	-- (--)	7.6	0.02	0.16	0.49	0.34	0.77
Other high-grade glioma	0.8 (1.2)	0.6 (2)	1.4 (2.2)	0.9 (3.5)	1.8 (1.5)	2.6	0.62	0.85	1.33	0.39	0.77
Schwannoma	1.4 (0.3)	1.5 (0.4)	3.6 (--)	1.8 (5.6)	1.5 (1.6)	11.4	0.02	0.16	2.51	0.32	0.77
